0	0.1715	0
0.1715	0.300303	1
0.300303	0.380303	2
0.380303	0.540303	3
0.540303	0.707635	4
0.707635	0.860303	1
0.860303	0.940303	2
0.940303	1.100303	3
1.100303	1.284453	4
1.284453	1.420303	1
1.420303	1.500303	2
1.500303	1.640303	3
1.640303	1.835118	4
1.835118	1.960303	1
1.960303	2.060303	2
2.060303	2.200303	3
2.200303	2.400303	4
2.400303	2.540303	1
2.540303	2.660303	2
2.660303	2.760303	3
2.760303	2.942259	4
2.942259	3.080303	1
3.080303	3.200303	2
3.200303	3.320303	3
3.320303	3.500303	4
3.500303	3.640303	1
3.640303	3.700303	2
3.700303	3.860303	3
3.860303	4.060303	4
4.060303	4.160303	1
4.160303	4.240303	2
4.240303	4.400303	3
4.400303	4.620303	4
4.620303	4.720303	1
4.720303	4.780303	2
4.780303	4.940303	3
4.940303	5.160303	4
5.160303	5.300303	1
5.300303	5.400303	2
5.400303	5.520303	3
5.520303	5.700303	4
5.700303	5.840303	1
5.840303	5.920303	2
5.920303	6.060303	3
6.060303	6.241162	4
6.241162	6.380303	1
6.380303	6.460303	2
6.460303	6.600303	3
6.600303	6.800303	4
6.800303	6.920303	1
6.920303	7.000303	2
7.000303	7.120303	3
7.120303	7.337406	4
7.337406	7.480303	1
7.480303	7.580303	2
7.580303	7.700303	3
7.700303	7.888797	4
7.888797	8.000303	1
8.000303	8.080303	2
8.080303	8.220303	3
8.220303	8.450359	4
8.450359	8.580303	1
8.580303	8.680303	2
8.680303	8.800303	3
8.800303	8.982862	4
8.982862	9.120303	1
9.120303	9.240303	2
9.240303	9.360303	3
9.360303	9.519724	4
9.519724	9.660303	1
9.660303	9.740303	2
9.740303	9.880303	3
9.880303	10.0762	4
10.0762	10.200303	1
10.200303	10.280303	2
10.280303	10.420303	3
10.420303	10.649385	4
10.649385	10.759082	1
10.759082	10.880303	2
10.880303	11.000303	3
11.000303	11.220303	4
11.220303	11.360303	1
11.360303	11.440303	2
11.440303	11.560303	3
11.560303	11.773962	4
11.773962	11.876394	1
11.876394	12.020303	2
12.020303	12.140303	3
12.140303	12.2992	4
12.2992	12.420303	1
12.420303	12.540303	2
12.540303	12.660303	3
12.660303	12.846959	4
12.846959	12.960303	1
12.960303	13.088874	2
13.088874	13.200303	3
13.200303	13.431041	4
13.431041	13.540303	1
13.540303	13.640303	2
13.640303	13.760303	3
13.760303	13.990424	4
13.990424	14.100303	1
14.100303	14.240303	2
14.240303	14.340303	3
14.340303	14.556344	4
14.556344	14.680303	1
14.680303	14.780303	2
14.780303	14.900303	3
14.900303	15.096838	4
15.096838	15.240303	1
15.240303	15.360303	2
15.360303	15.440303	3
15.440303	15.626435	4
15.626435	15.740303	1
15.740303	15.860303	2
15.860303	15.980303	3
15.980303	16.169835	4
16.169835	16.280303	1
16.280303	16.400303	2
16.400303	16.520303	3
16.520303	16.724132	4
16.724132	16.840303	1
16.840303	16.940303	2
16.940303	17.080303	3
17.080303	17.274071	4
17.274071	17.400303	1
17.400303	17.500303	2
17.500303	17.620303	3
17.620303	17.820303	4
17.820303	17.960303	1
17.960303	18.060303	2
18.060303	18.160303	3
18.160303	18.328179	4
18.328179	18.460303	1
18.460303	18.540303	2
18.540303	18.680303	3
18.680303	18.835256	4
18.835256	18.974012	1
18.974012	19.109862	2
19.109862	19.200303	3
19.200303	19.76	0
