0	3.0445	0
3.0445	3.160242	1
3.160242	3.280242	2
3.280242	3.400242	3
3.400242	3.585187	4
3.585187	3.680242	1
3.680242	3.840242	2
3.840242	3.980242	3
3.980242	4.200242	4
4.200242	4.300242	1
4.300242	4.420242	2
4.420242	4.540242	3
4.540242	4.740242	4
4.740242	4.880242	1
4.880242	5.020242	2
5.020242	5.140242	3
5.140242	5.316486	4
5.316486	5.460242	1
5.460242	5.560242	2
5.560242	5.700242	3
5.700242	5.86346	4
5.86346	6.000242	1
6.000242	6.120242	2
6.120242	6.260242	3
6.260242	6.4513	4
6.4513	6.560242	1
6.560242	6.720242	2
6.720242	6.820242	3
6.820242	6.994345	4
6.994345	7.100242	1
7.100242	7.260242	2
7.260242	7.400242	3
7.400242	7.600242	4
7.600242	7.720242	1
7.720242	7.840242	2
7.840242	8.000242	3
8.000242	8.159022	4
8.159022	8.300242	1
8.300242	8.411291	2
8.411291	8.500242	3
8.500242	8.701281	4
8.701281	8.820242	1
8.820242	8.940242	2
8.940242	9.080242	3
9.080242	9.249827	4
9.249827	9.360242	1
9.360242	9.500242	2
9.500242	9.640242	3
9.640242	9.819592	4
9.819592	9.940242	1
9.940242	10.060242	2
10.060242	10.200242	3
10.200242	10.688	0
